name,short_name,gender,birth_date,country_code,discipline_code
AALERUD Katrine,AALERUD K,Female,1994-12-04,NOR,CRD
ABAD Nestor,ABAD N,Male,1993-03-29,ESP,GAR
ABAGNALE Giovanni,ABAGNALE G,Male,1995-01-11,ITA,ROW
ABALDE Alberto,ABALDE A,Male,1995-12-15,ESP,BKB
ABALDE Tamara,ABALDE T,Female,1989-02-06,ESP,BKB
ABALO Luc,ABALO L,Male,1984-09-06,FRA,HBL
ABAROA Cesar,ABAROA C,Male,1996-11-18,CHI,ROW
ABASS Abobakr,ABASS A,Male,1998-11-01,SUD,SWM
ABBAGNALE Vincenzo,ABBAGNALE V,Male,1993-03-13,ITA,ROW
ABBASALI Hamideh,ABBASALI H,Female,1990-03-14,IRI,KTE
ABBASOV Islam,ABBASOV I,Male,1996-03-24,AZE,WRE
ABBINGH Lois,ABBINGH L,Female,1992-08-13,NED,HBL
ABBOT Emily,ABBOT E,Female,1997-02-28,AUS,GRY
ABBOTT Monica,ABBOTT M,Female,1985-07-28,USA,BSB
ABDALLA Abubaker Haydar,ABDALLA AH,Male,1996-08-28,QAT,ATH
ABDALRASOOL Mohamed,ABDALRASOOL M,Male,1993-07-24,SUD,JUD
ABDEL LATIF Radwa,ABDEL LATIF R,Female,1989-10-15,EGY,SHO
ABDEL RAZEK Samy,ABDEL RAZEK S,Male,1980-04-10,EGY,SHO
ABDELAAL Mohamed,ABDELAAL M,Male,1990-07-23,EGY,JUD
ABDELAZIZ Abdalla,ABDELAZIZ A,Male,1999-03-29,EGY,KTE
ABDELAZIZ Farah,ABDELAZIZ F,Female,1992-09-01,EGY,TTE
ABDELAZIZ Feryal,ABDELAZIZ F,Female,1999-02-16,EGY,KTE
ABDELMAWGOUD Mohamed,ABDELMAWGOUD M,Male,1994-06-10,EGY,JUD
ABDELMOTTALEB Diaaeldin Kamal Gouda,ABDELMOTTALEB DKG,Male,1993-05-02,EGY,WRE
ABDELRAHMAN Ihab,ABDELRAHMAN I,Male,1989-05-01,EGY,ATH
ABDELSALAM Mohamed,ABDELSALAM M,Male,1997-10-01,EGY,FBL
ABDELSALAM Nour,ABDELSALAM N,Female,1993-03-29,EGY,TKW
ABDELWAHED Ahmed,ABDELWAHED A,Male,1996-05-26,ITA,ATH
ABDI Bashir,ABDI B,Male,1989-02-10,BEL,ATH
ABDIRAHMAN Abdi,ABDIRAHMAN A,Male,1977-01-01,USA,ATH
ABDUL HADI Farah Ann,ABDUL HADI FA,Female,1994-05-03,MAS,GAR
ABDUL RAHMAN Kiria Tikanah,ABDUL RAHMAN KT,Female,2000-06-25,SGP,FEN
ABDUL RAZZAQ Fathimath Nabaaha,ABDUL RAZZAQ FN,Female,1999-06-13,MDV,BDM
ABDULHAMID Saud,ABDULHAMID S,Male,1999-07-18,KSA,FBL
ABDULJABBAR Ammar Riad,ABDULJABBAR AR,Male,1995-10-01,GER,BOX
ABDULLAEV Gulomjon,ABDULLAEV G,Male,1998-11-11,UZB,WRE
ABDULLAEV Muminjon,ABDULLAEV M,Male,1989-12-24,UZB,WRE
ABDULLAH Rahmat Erwin,ABDULLAH RE,Male,2000-10-13,INA,WLF
ABDULLAYEV Mahammad,ABDULLAYEV M,Male,1999-04-06,AZE,BOX
ABDULLIN Ilfat,ABDULLIN I,Male,1998-01-09,KAZ,ARC
ABDULREDHA Mohamed,ABDULREDHA M,Male,1989-09-27,BRN,HBL
ABDURAIMOV Elnur,ABDURAIMOV E,Male,1994-06-10,UZB,BOX
ABDURAKHIMOV Rasuljon,ABDURAKHIMOV R,Male,1996-10-03,UZB,GAR
ABDURAKHMONOV Bekzod,ABDURAKHMONOV B,Male,1990-03-15,UZB,WRE
