discipline,discipline_code
Cycling Road,CRD
Artistic Gymnastics,GAR
Rowing,ROW
Basketball,BKB
Handball,HBL
Swimming,SWM
Karate,KTE
Wrestling,WRE
Rhythmic Gymnastics,GRY
Baseball/Softball,BSB
Athletics,ATH
Judo,JUD
Shooting,SHO
Table Tennis,TTE
Football,FBL
Taekwondo,TKW
Fencing,FEN
Badminton,BDM
Boxing,BOX
Weightlifting,WLF
Archery,ARC
Diving,DIV
Beach Volleyball,VBV
Sailing,SAL
Hockey,HOC
Trampoline Gymnastics,GTR
Marathon Swimming,OWS
Triathlon,TRI
Canoe Slalom,CSL
Water Polo,WPO
Surfing,SRF
Canoe Sprint,CSP
Cycling BMX Racing,BMX
Rugby Sevens,RUG
Volleyball,VVO
Equestrian,EQU
Tennis,TEN
Artistic Swimming,SWA
Cycling Track,CTR
Golf,GLF
Skateboarding,SKB
Modern Pentathlon,MPN
Cycling Mountain Bike,MTB
3x3 Basketball,BK3
Cycling BMX Freestyle,BMF
Sport Climbing,CLB
