medal_code,athlete_name,country_code,discipline_code,event
1,KIM Je Deok,KOR,ARC,Mixed Team
1,AN San,KOR,ARC,Mixed Team
2,SCHLOESSER Gabriela,NED,ARC,Mixed Team
2,WIJLER Steve,NED,ARC,Mixed Team
3,ALVAREZ Luis,MEX,ARC,Mixed Team
3,VALENCIA Alejandra,MEX,ARC,Mixed Team
1,CARAPAZ Richard,ECU,CRD,Men's Road Race
2,van AERT Wout,BEL,CRD,Men's Road Race
3,POGACAR Tadej,SLO,CRD,Men's Road Race
1,SZILAGYI Aron,HUN,FEN,Men's Sabre Individual
2,SAMELE Luigi,ITA,FEN,Men's Sabre Individual
3,KIM Junghwan,KOR,FEN,Men's Sabre Individual
1,SUN Yiwen,CHN,FEN,Women's &Eacute;p&eacute;e Individual
2,POPESCU Ana Maria,ROU,FEN,Women's &Eacute;p&eacute;e Individual
3,LEHIS Katrina,EST,FEN,Women's &Eacute;p&eacute;e Individual
1,TAKATO Naohisa,JPN,JUD,Men -60 kg
2,YANG Yung Wei,TPE,JUD,Men -60 kg
3,MKHEIDZE Luka,FRA,JUD,Men -60 kg
3,SMETOV Yeldos,KAZ,JUD,Men -60 kg
1,KRASNIQI Distria,KOS,JUD,Women -48 kg
2,TONAKI Funa,JPN,JUD,Women -48 kg
3,BILODID Daria,UKR,JUD,Women -48 kg
3,MUNKHBAT Urantsetseg,MGL,JUD,Women -48 kg
1,FOROUGHI Javad,IRI,SHO,10m Air Pistol Men
2,MIKEC Damir,SRB,SHO,10m Air Pistol Men
3,PANG Wei,CHN,SHO,10m Air Pistol Men
1,YANG Qian,CHN,SHO,10m Air Rifle Women
2,GALASHINA Anastasiia,ROC,SHO,10m Air Rifle Women
3,CHRISTEN Nina,SUI,SHO,10m Air Rifle Women
1,DELL'AQUILA Vito,ITA,TKW,Men -58kg
2,JENDOUBI Mohamed Khalil,TUN,TKW,Men -58kg
3,ARTAMONOV Mikhail,ROC,TKW,Men -58kg
3,JANG Jun,KOR,TKW,Men -58kg
1,WONGPATTANAKIT Panipak,THA,TKW,Women -49kg
2,CEREZO IGLESIAS Adriana,ESP,TKW,Women -49kg
3,BOGDANOVIC Tijana,SRB,TKW,Women -49kg
3,SEMBERG Abishag,ISR,TKW,Women -49kg
1,HOU Zhihui,CHN,WLF,Women's 49kg
2,MIRABAI Chanu Saikhom,IND,WLF,Women's 49kg
3,AISAH Windy Cantika,INA,WLF,Women's 49kg
1,KANG Chaeyoung,KOR,ARC,Women's Team
1,AN San,KOR,ARC,Women's Team
1,JANG Minhee,KOR,ARC,Women's Team
2,OSIPOVA Elena,ROC,ARC,Women's Team
2,PEROVA Ksenia,ROC,ARC,Women's Team
2,GOMBOEVA Svetlana,ROC,ARC,Women's Team
3,SCHWARZ Charline,GER,ARC,Women's Team
3,UNRUH Lisa,GER,ARC,Women's Team
3,KROPPEN Michelle,GER,ARC,Women's Team
1,KIESENHOFER Anna,AUT,CRD,Women's Road Race
2,van VLEUTEN Annemiek,NED,CRD,Women's Road Race
3,LONGO BORGHINI Elisa,ITA,CRD,Women's Road Race
1,WANG Han,CHN,DIV,Women's Synchronised 3m Springboard
1,SHI Tingmao,CHN,DIV,Women's Synchronised 3m Springboard
2,ABEL Jennifer,CAN,DIV,Women's Synchronised 3m Springboard
2,CITRINI BEAULIEU Melissa,CAN,DIV,Women's Synchronised 3m Springboard
3,HENTSCHEL Lena,GER,DIV,Women's Synchronised 3m Springboard
3,PUNZEL Tina,GER,DIV,Women's Synchronised 3m Springboard
1,CANNONE Romain,FRA,FEN,Men's &Eacute;p&eacute;e Individual
2,SIKLOSI Gergely,HUN,FEN,Men's &Eacute;p&eacute;e Individual
3,REIZLIN Igor,UKR,FEN,Men's &Eacute;p&eacute;e Individual
1,KIEFER Lee,USA,FEN,Women's Foil Individual
2,DERIGLAZOVA Inna,ROC,FEN,Women's Foil Individual
3,KOROBEYNIKOVA Larisa,ROC,FEN,Women's Foil Individual
1,ABE Hifumi,JPN,JUD,Men -66 kg
2,MARGVELASHVILI Vazha,GEO,JUD,Men -66 kg
3,AN Baul,KOR,JUD,Men -66 kg
3,CARGNIN Daniel,BRA,JUD,Men -66 kg
1,ABE Uta,JPN,JUD,Women -52 kg
2,BUCHARD Amandine,FRA,JUD,Women -52 kg
3,GILES Chelsie,GBR,JUD,Women -52 kg
3,GIUFFRIDA Odette,ITA,JUD,Women -52 kg
1,BATSARASHKINA Vitalina,ROC,SHO,10m Air Pistol Women
2,KOSTADINOVA Antoaneta,BUL,SHO,10m Air Pistol Women
3,JIANG Ranxin,CHN,SHO,10m Air Pistol Women
1,SHANER William,USA,SHO,10m Air Rifle Men
2,SHENG Lihao,CHN,SHO,10m Air Rifle Men
3,YANG Haoran,CHN,SHO,10m Air Rifle Men
1,HORIGOME Yuto,JPN,SKB,Men's Street
2,HOEFLER Kelvin,BRA,SKB,Men's Street
3,EATON Jagger,USA,SKB,Men's Street
1,HAFNAOUI Ahmed,TUN,SWM,Men's 400m Freestyle
2,McLOUGHLIN Jack,AUS,SWM,Men's 400m Freestyle
3,SMITH Kieran,USA,SWM,Men's 400m Freestyle
1,KALISZ Chase,USA,SWM,Men's 400m Individual Medley
2,LITHERLAND Jay,USA,SWM,Men's 400m Individual Medley
3,SMITH Brendon,AUS,SWM,Men's 400m Individual Medley
1,CAMPBELL Cate,AUS,SWM,Women's 4 x 100m Freestyle Relay
1,CAMPBELL Bronte,AUS,SWM,Women's 4 x 100m Freestyle Relay
1,McKEON Emma,AUS,SWM,Women's 4 x 100m Freestyle Relay
1,WILSON Madison,AUS,SWM,Women's 4 x 100m Freestyle Relay
1,O'CALLAGHAN Mollie,AUS,SWM,Women's 4 x 100m Freestyle Relay
1,HARRIS Meg,AUS,SWM,Women's 4 x 100m Freestyle Relay
