name,gender,birth_date,country_code,discipline,function
ABDELMAGID Wael,Male,8/2/1982,EGY,Football,Head Coach
ABE Junya,Male,7/25/1990,JPN,Volleyball,Head Coach
ABE Katsuhiko,Male,9/23/1979,JPN,Basketball,Coach
ADAMA Cherif,Male,5/6/1962,CIV,Football,Head Coach
AGEBA Yuya,Male,9/30/1983,JPN,Volleyball,Head Coach
AIKMAN Siegfried Gottlieb,Male,4/28/1959,JPN,Hockey,Head Coach
AL SAADI Kais,Male,11/6/1976,GER,Hockey,Head Coach
ALAMEDA Lonni,Female,6/11/1970,CAN,Baseball/Softball,Coach
ALEKNO Vladimir,Male,12/4/1966,IRI,Volleyball,Head Coach
ALEKSEEV Alexey,Male,3/5/1965,ROC,Handball,Coach
ALLER CARBALLO Manuel Angel,Male,4/17/1963,ESP,Basketball,Coach
ALSHEHRI Saad,Male,1/10/1980,KSA,Football,Head Coach
ALY Kamal,Male,9/29/1961,EGY,Football,Head Coach
AMAYA GAITAN Fabian,Male,1/17/1984,PUR,Basketball,Coach
AMO AGUADO Pablo,Male,1/15/1978,ESP,Football,Head Coach
ANDONOVSKI Vlatko,Male,9/14/1976,USA,Football,Head Coach
ANNAN Alyson,Female,6/21/1973,NED,Hockey,Head Coach
ARNAU CREUS Xavier,Male,3/20/1973,JPN,Hockey,Head Coach
ARNOLD Graham,Male,8/3/1963,AUS,Football,Head Coach
ARZATE Martin,Male,1/16/1960,MEX,Baseball/Softball,Coach
AXNER Tomas,Male,11/30/1969,SWE,Handball,Coach
BABER Gareth Colin,Male,5/23/1972,FIJ,Rugby Sevens,Head Coach
BACIU Horatiu,Male,3/19/1994,ROU,Football,Head Coach
BANBULA Wojciech,Male,12/25/1988,POL,Volleyball,Head Coach
BAO Zhuang,Male,2/25/1970,CHN,Volleyball,Head Coach
BARYLA Pawel,Male,6/5/1984,ROC,Volleyball,Head Coach
BASILIO Mel,Female,3/3/1981,CAN,Baseball/Softball,Coach
BASSO Paola,Female,8/9/1970,GBR,Artistic Swimming,Coach
BATCH Colin,Male,3/27/1958,AUS,Hockey,Head Coach
BATISTA Fernando,Male,8/20/1970,ARG,Football,Head Coach
BATISTA SANTIAGO Gerardo,Male,12/21/1970,PUR,Basketball,Coach
BELTRAN Rigoberto,Male,11/13/1969,MEX,Baseball/Softball,Coach
BENCIC Filip,Male,8/13/1989,SRB,Basketball,Coach
BERG Laura,Female,1/6/1975,USA,Baseball/Softball,Coach
BERGE Christian,Male,7/19/1973,NOR,Handball,Coach
BERNALDEZ Carlos,Male,3/16/1968,MEX,Baseball/Softball,Head Coach
BILLAVA SURESH Ankitha,Female,12/12/1992,IND,Hockey,Coach
BIRO Attila,Male,5/9/1966,HUN,Water Polo,Head Coach
BLECHER SIDOROVA Svetlana,Female,6/17/1965,ISR,Artistic Swimming,Coach
BLENGINI Gianlorenzo,Male,12/29/1971,ITA,Volleyball,Head Coach
BOLTON Alice,Female,5/25/1967,NGR,Basketball,Coach
BREIVIK Marit,Female,4/10/1955,NOR,Handball,Coach
BRODERICK William,Male,9/17/1992,BRA,Rugby Sevens,Head Coach
BRONDELLO Sandy,Female,8/20/1968,AUS,Basketball,Coach
BROWN Chris,Male,9/26/1985,USA,Rugby Sevens,Head Coach
BROWN Michael,Male,3/5/1970,NGR,Basketball,Coach
BRUN Aristide,Male,5/9/1974,AUT,Artistic Swimming,Coach
BUNTING Allan,Male,2/17/1978,NZL,Rugby Sevens,Head Coach
BUSATO Sergio,Male,1/24/1966,ROC,Volleyball,Head Coach
BUSENKELL Axel,Male,11/26/1971,GER,Football,Head Coach
BYRNE Mick,Male,12/2/1958,CAN,Rugby Sevens,Head Coach
CADENAS MONTANES Manuel,Male,2/2/1955,ARG,Handball,Coach
CALDAS Max,Male,3/9/1973,NED,Hockey,Head Coach
CAMPAGNA Alessandro,Male,6/26/1963,ITA,Water Polo,Head Coach
CAMPBELL Eric,Male,5/3/1962,USA,Baseball/Softball,Coach
CANO SORIANO Joselito,Male,3/7/1962,DOM,Baseball/Softball,Coach
CARO Carlos,Male,8/12/1969,MEX,Baseball/Softball,Coach
