Rank,Country Code,Gold Medal,Silver Medal,Bronze Medal,Total
1,USA,39,41,33,113
2,CHN,38,32,18,88
3,JPN,27,14,17,58
4,GBR,22,21,22,65
5,ROC,20,28,23,71
6,AUS,17,7,22,46
7,NED,10,12,14,36
8,FRA,10,12,11,33
9,GER,10,11,16,37
10,ITA,10,10,20,40
11,CAN,7,6,11,24
12,BRA,7,6,8,21
13,NZL,7,6,7,20
14,CUB,7,3,5,15
15,HUN,6,7,7,20
16,KOR,6,4,10,20
17,POL,4,5,5,14
18,CZE,4,4,3,11
19,KEN,4,4,2,10
20,NOR,4,2,2,8
21,JAM,4,1,4,9
22,ESP,3,8,6,17
23,SWE,3,6,0,9
24,SUI,3,4,6,13
25,DEN,3,4,4,11
26,CRO,3,3,2,8
27,IRI,3,2,2,7
28,SRB,3,1,5,9
29,BEL,3,1,3,7
30,BUL,3,1,2,6
31,SLO,3,1,1,5
32,UZB,3,0,2,5
33,GEO,2,5,1,8
34,TPE,2,4,6,12
35,TUR,2,2,9,13
36,GRE,2,1,1,4
37,UGA,2,1,1,4
38,ECU,2,1,0,3
39,IRL,2,0,2,4
40,ISR,2,0,2,4
41,QAT,2,0,1,3
42,BAH,2,0,0,2
43,KOS,2,0,0,2
44,UKR,1,6,12,19
45,BLR,1,3,3,7
46,ROU,1,3,0,4
47,VEN,1,3,0,4
48,IND,1,2,4,7
49,HKG,1,2,3,6
50,PHI,1,2,1,4
51,SVK,1,2,1,4
52,RSA,1,2,0,3
53,AUT,1,1,5,7
54,EGY,1,1,4,6
55,INA,1,1,3,5
56,ETH,1,1,2,4
57,POR,1,1,2,4
58,TUN,1,1,0,2
59,EST,1,0,1,2
60,FIJ,1,0,1,2
61,LAT,1,0,1,2
62,THA,1,0,1,2
63,BER,1,0,0,1
64,MAR,1,0,0,1
65,PUR,1,0,0,1
66,COL,0,4,1,5
67,AZE,0,3,4,7
68,DOM,0,3,2,5
69,ARM,0,2,2,4
70,KGZ,0,2,1,3
71,MGL,0,1,3,4
72,ARG,0,1,2,3
73,SMR,0,1,2,3
74,JOR,0,1,1,2
75,MAS,0,1,1,2
76,NGR,0,1,1,2
77,BRN,0,1,0,1
78,KSA,0,1,0,1
79,LTU,0,1,0,1
80,MKD,0,1,0,1
81,NAM,0,1,0,1
82,TKM,0,1,0,1
83,KAZ,0,0,8,8
84,MEX,0,0,4,4
85,FIN,0,0,2,2
86,BOT,0,0,1,1
87,BUR,0,0,1,1
88,CIV,0,0,1,1
89,GHA,0,0,1,1
90,GRN,0,0,1,1
91,KUW,0,0,1,1
92,MDA,0,0,1,1
93,SYR,0,0,1,1
