medal_type,medal_code,athlete_name,country_code,discipline_code,event
Gold Medal,1,KIM Je Deok,KOR,ARC,Mixed Team
Gold Medal,1,AN San,KOR,ARC,Mixed Team
Silver Medal,2,SCHLOESSER Gabriela,NED,ARC,Mixed Team
Silver Medal,2,WIJLER Steve,NED,ARC,Mixed Team
Bronze Medal,3,ALVAREZ Luis,MEX,ARC,Mixed Team
Bronze Medal,3,VALENCIA Alejandra,MEX,ARC,Mixed Team
Gold Medal,1,CARAPAZ Richard,ECU,CRD,Men's Road Race
Silver Medal,2,van AERT Wout,BEL,CRD,Men's Road Race
Bronze Medal,3,POGACAR Tadej,SLO,CRD,Men's Road Race
Gold Medal,1,SZILAGYI Aron,HUN,FEN,Men's Sabre Individual
Silver Medal,2,SAMELE Luigi,ITA,FEN,Men's Sabre Individual
Bronze Medal,3,KIM Junghwan,KOR,FEN,Men's Sabre Individual
Gold Medal,1,SUN Yiwen,CHN,FEN,Women's &Eacute;p&eacute;e Individual
Silver Medal,2,POPESCU Ana Maria,ROU,FEN,Women's &Eacute;p&eacute;e Individual
Bronze Medal,3,LEHIS Katrina,EST,FEN,Women's &Eacute;p&eacute;e Individual
Gold Medal,1,TAKATO Naohisa,JPN,JUD,Men -60 kg
Silver Medal,2,YANG Yung Wei,TPE,JUD,Men -60 kg
Bronze Medal,3,MKHEIDZE Luka,FRA,JUD,Men -60 kg
Bronze Medal,3,SMETOV Yeldos,KAZ,JUD,Men -60 kg
Gold Medal,1,KRASNIQI Distria,KOS,JUD,Women -48 kg
Silver Medal,2,TONAKI Funa,JPN,JUD,Women -48 kg
Bronze Medal,3,BILODID Daria,UKR,JUD,Women -48 kg
Bronze Medal,3,MUNKHBAT Urantsetseg,MGL,JUD,Women -48 kg
Gold Medal,1,FOROUGHI Javad,IRI,SHO,10m Air Pistol Men
Silver Medal,2,MIKEC Damir,SRB,SHO,10m Air Pistol Men
Bronze Medal,3,PANG Wei,CHN,SHO,10m Air Pistol Men
Gold Medal,1,YANG Qian,CHN,SHO,10m Air Rifle Women
Silver Medal,2,GALASHINA Anastasiia,ROC,SHO,10m Air Rifle Women
Bronze Medal,3,CHRISTEN Nina,SUI,SHO,10m Air Rifle Women
Gold Medal,1,DELL'AQUILA Vito,ITA,TKW,Men -58kg
Silver Medal,2,JENDOUBI Mohamed Khalil,TUN,TKW,Men -58kg
Bronze Medal,3,ARTAMONOV Mikhail,ROC,TKW,Men -58kg
